teamId,abbreviation,displayName,slug,seasonType,eventId,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance,updateTime,precision_tiro,aprovechamiento_posesion,aprovechamiento_posesion_peligroso,peligrosidad_centros,precision_centros,limpieza_defensiva,limpieza_defensiva_completa,efectividad_despeje,indice_verticalidad,verticalidad_efectiva,precision_verticalidad,intensidad_circulacion,intensidad_circulacion_precisa
122,KOE,FC Cologne,ger.1_fc_kln,12612,703041,1,47.7,21.0,5.0,0.0,2.0,12.0,5.0,23.0,13.0,0.6,0.0,0.0,366.0,493.0,0.7,9.0,28.0,0.3,72.0,34.0,0.5,5.0,14.0,26.0,0.5,12.0,17.0,17.0,2024-08-19 04:19:09,56.52173913043478,0.4821802935010482,0.27253668763102723,0.0019285714285714286,32.142857142857146,36.36363636363637,55.319148936170215,100.0,14.60446247464503,6.896551724137931,47.22222222222222,10.335429769392032,7.6729559748427665
121,BOC,VfL Bochum,ger.vfl_bochum,12612,703044,1,65.4,18.0,7.0,0.0,4.0,5.0,5.0,18.0,7.0,0.4,0.0,0.0,365.0,491.0,0.7,3.0,16.0,0.2,79.0,36.0,0.5,3.0,12.0,19.0,0.6,8.0,5.0,5.0,2024-08-19 04:19:08,38.88888888888889,0.2752293577981651,0.10703363914373087,0.0007500000000000001,18.75,30.76923076923077,52.63157894736842,100.0,16.08961303462322,7.3319755600814664,45.56962025316456,7.507645259938838,5.581039755351681
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704284,0,52.9,17.0,1.0,0.0,1.0,2.0,3.0,14.0,8.0,0.6,0.0,0.0,402.0,503.0,0.8,3.0,13.0,0.2,51.0,22.0,0.4,3.0,12.0,24.0,0.5,7.0,25.0,25.0,2024-08-18 04:18:21,57.14285714285714,0.26465028355387527,0.15122873345935728,0.0013846153846153847,23.076923076923077,29.166666666666668,52.77777777777778,100.0,10.139165009940358,4.3737574552683895,43.13725490196079,9.508506616257089,7.599243856332704
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704296,1,35.4,14.0,3.0,0.0,1.0,10.0,1.0,23.0,8.0,0.3,0.0,0.0,294.0,352.0,0.8,5.0,19.0,0.3,48.0,25.0,0.5,7.0,15.0,24.0,0.6,11.0,23.0,23.0,2024-08-25 04:19:45,34.78260869565217,0.6497175141242938,0.22598870056497175,0.0007894736842105263,26.31578947368421,44.0,65.0,100.0,13.636363636363635,7.1022727272727275,52.083333333333336,9.943502824858758,8.305084745762713
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704303,0,51.7,15.0,3.0,0.0,4.0,7.0,1.0,16.0,5.0,0.3,0.0,0.0,293.0,367.0,0.8,5.0,23.0,0.2,55.0,26.0,0.5,6.0,12.0,17.0,0.7,10.0,13.0,13.0,2024-09-01 04:22:00,31.25,0.3094777562862669,0.09671179883945841,0.0006521739130434782,21.73913043478261,40.0,59.45945945945946,100.0,14.986376021798364,7.084468664850137,47.27272727272727,7.098646034816247,5.667311411992263
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704314,1,45.41587301587301,11.26984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.3809523809524,393.968253968254,0.7984126984126984,0.0,0.0,0.0,50.22222222222222,21.158730158730158,0.419047619047619,0.0,11.079365079365079,0.0,0.6047619047619048,7.936507936507937,27.85483870967742,27.85483870967742,2025-07-13 17:50:09,0.0,0.0,0.0,0.0,0.0,41.32231404958677,62.78825995807128,100.0,12.747784045124899,5.370668815471394,42.13021491782554,8.674681951628688,7.032364043058858
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704320,1,29.6,11.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,0.8,1.0,1.0,169.0,245.0,0.7,0.0,4.0,0.0,59.0,14.0,0.2,1.0,8.0,18.0,0.4,8.0,48.0,48.0,2024-10-14 06:59:34,75.0,0.13513513513513511,0.10135135135135134,0.0,0.0,42.10526315789473,59.25925925925925,100.0,24.081632653061224,5.714285714285714,23.728813559322035,8.277027027027026,5.709459459459459
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704333,0,40.6,11.0,2.0,0.0,7.0,6.0,1.0,11.0,1.0,0.1,0.0,0.0,278.0,351.0,0.8,5.0,26.0,0.2,35.0,11.0,0.3,5.0,3.0,8.0,0.4,9.0,22.0,22.0,2024-10-14 06:59:34,9.090909090909092,0.270935960591133,0.02463054187192118,0.0001923076923076923,19.230769230769234,45.0,52.17391304347826,100.0,9.971509971509972,3.133903133903134,31.428571428571427,8.645320197044335,6.847290640394088
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704342,1,33.9,11.0,2.0,1.0,3.0,3.0,7.0,16.0,9.0,0.6,0.0,0.0,233.0,306.0,0.8,3.0,11.0,0.3,46.0,15.0,0.3,6.0,6.0,12.0,0.5,6.0,32.0,32.0,2024-10-14 06:59:34,56.25,0.471976401179941,0.26548672566371684,0.001636363636363636,27.27272727272727,35.294117647058826,52.17391304347826,100.0,15.032679738562091,4.901960784313726,32.608695652173914,9.026548672566372,6.873156342182891
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704350,0,50.3,9.0,2.0,0.0,2.0,6.0,7.0,20.0,6.0,0.3,0.0,0.0,362.0,441.0,0.8,9.0,23.0,0.4,46.0,25.0,0.5,9.0,5.0,9.0,0.6,14.0,17.0,17.0,2024-10-22 23:19:35,30.0,0.3976143141153082,0.11928429423459246,0.0011739130434782609,39.130434782608695,60.86956521739131,67.85714285714286,100.0,10.430839002267573,5.6689342403628125,54.347826086956516,8.767395626242545,7.196819085487078
